rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
86,"spotify:track:0zsbeQtP0KZ9hXabeCHqo2","Noche de Brujas","Óyeme","NDB Music",38,-1,35,"49583"
87,"spotify:track:7tg2sPCtKf5hLoD0w2Z7Zd","Santaferia","Sakate Uno","Master Media Ltda",87,198,12,"49572"
88,"spotify:track:4i5NFoPWqTqlsR4WyoVFtB","Rafaga","Una Ráfaga De Amor","Leader Music",88,-1,1,"49475"
89,"spotify:track:19CmuECYssqkPWANF4nLWM","La Mosca","Para No Verte Más","EMI Argentina",89,-1,1,"47380"
90,"spotify:track:7lk2SWsLObPlO98pOvz6V0","Santaferia, Illapu","Si Te Marchas, No Hay Manera","Santaferia",80,128,274,"47223"
91,"spotify:track:5MarqoT4wE5uNITGuEZams","Villa Cariño","Para dormir contigo otra vez","Clandestino Records",89,152,451,"46365"
92,"spotify:track:5iJX4NZaq08acdlK4wku9V","Noche de Brujas","Entrégame","NDB Music",65,-1,24,"46176"
93,"spotify:track:0lbhKycRyqkOMKZ6thzfU4","Eladio Carrion, Zion & Lennox, Wisin & Yandel, Lunay","Mi Error - Remix","Rimas Entertainment LLC",39,55,45,"46023"
94,"spotify:track:53u3hNXGUNCYLjKnnC3Sji","Los Charros De Lumaco","Cómo Dejar de Amarte y Otros","Master Media Music Ltda.",94,-1,10,"45461"
95,"spotify:track:1LiN0Z98FkR1t0m8KmLcAH","Anuel AA, Haze","Amanece","House of Haze",2,68,384,"45445"
96,"spotify:track:2rc7BkzO8qepMFAxHtOrXc","J Balvin","Blanco","UMLE - Latino",59,60,48,"45438"
97,"spotify:track:2yVGDR9w1srAuQAuUjEShj","Jordan","¿Y Qué Pasó?","Pimienta Records",97,-1,5,"45376"
98,"spotify:track:1Ej96GIBCTvgH7tNX1r3qr","Sech, Darell","Otro Trago","Rich Music/Ingrooves Records",1,59,258,"45337"
99,"spotify:track:6XMY9qZM7HXXu0PVqnv7y9","Chico Trujillo","Medallita","Perros con Tiña",62,-1,7,"45161"
100,"spotify:track:4Pss9knIWhZDWlGXmnDI0S","Sonora Malecón","Melosa","Discos Fuentes",77,-1,4,"45114"
101,"spotify:track:7wKrYpEkIa4NNSwkd1YqRQ","La Combo Tortuga","Soy Feo Pero Rico","La Combo Tortuga",68,-1,32,"45021"
102,"spotify:track:7nqJSKq4bLSU5np1UKQl6f","Chico Trujillo","Loca","Chico Trujillo",60,-1,8,"44271"
103,"spotify:track:26Qhn2T88XqVinXQpmSarj","Nicky Jam, Sech","Atrévete","Sony Music Latin",19,63,153,"44220"
104,"spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg","Dua Lipa","Don't Start Now","Warner Records",50,57,62,"44050"
105,"spotify:track:74j34STf8L6uADnTN69ohv","Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex","El Efecto - Remix","(SME US Latin) Duars Entertainment, Corp. (2)",52,61,20,"44020"
106,"spotify:track:0Tl84qfow6Dv0PM60zoBhb","Azul Azul","La Bomba","Columbia",106,-1,1,"43731"
107,"spotify:track:22FOYc0QvRyuNnisLDc7fn","Américo","El Embrujo","Minga Records",107,-1,4,"43663"
108,"spotify:track:0BI7u6p921rYiD2EUyTJJG","Sonora Malecón, Lucho Lambis","Pícara","Discos Fuentes",73,-1,2,"43274"
109,"spotify:track:1tpbAGsGpZee5jDHMcLrUJ","Dalex, Lenny Tavárez","Bellaquita","Rich Music",17,62,118,"42979"
110,"spotify:track:6osaMSJh9NguagEDQcZaKx","DJ Snake, J Balvin, Tyga","Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake Music Productions Limited",33,78,202,"42701"
111,"spotify:track:5zRQDokwLLYAgNB0CCo2qb","Amar Azul","El Polvito Del Amor","Leader Music",111,-1,10,"42524"
112,"spotify:track:6aIOfv9A3FZtQjMjyWNiJJ","El Simbolo","Levantando las Manos","Hit Designers",112,-1,1,"42295"
113,"spotify:track:2s7FrKHmo4zw6sitobJvtu","Ojos de Luna","Contéstame","Ojos De Luna",113,-1,1,"42281"
114,"spotify:track:0GmiGIxXDNrePrHBpijYDp","Yannc, Darkiel, Eladio Carrion, Brray, Myke Towers","Sigue Bailandome","Full Harmony",4,74,436,"42074"
115,"spotify:track:3trowLiYwwOoiwapLISNyk","Damas Gratis, Viru Kumbieron","No Te Creas Tan Importante - En Vivo","Pelo Music S.A.",83,-1,135,"41807"
116,"spotify:track:5jW3rF4URMdK7tO2xjS5EI","Paulo Londra","Tal Vez","WEA Latina",5,73,273,"41515"
117,"spotify:track:4OaUwXCBL5V452WC81Kw8b","La Noche","Es el Amor","RPL Media SPA",117,-1,1,"41510"
118,"spotify:track:7Lfp553u5K9VDEpdIgGtpJ","Grupo Alegria","Mujeres y Cerveza","Grupo Alegria",118,-1,8,"40951"
119,"spotify:track:4xvTPuwHaXoDM3p0QcY7bH","DJ Luian, Mambo Kingz, Farruko, Wisin, Myke Towers, Darell, Arcángel","Música","Hear This Music",56,64,28,"40947"
120,"spotify:track:2q9udNV9NK0BL3q9p6TLxf","ChiChi Peralta, Jandy Feliz","Procura","Caiman Music",120,-1,1,"40775"
121,"spotify:track:5NOHsDSfLIH45y3i9PfRyh","Casper Magico, Bryant Myers, Alex Rose, Juhn","Fantasmita - Remix","2019 Flow La Movie, Inc & Los Magicos",60,65,27,"40658"
122,"spotify:track:3QfD4bxxkopZL7XZ8RaezH","Tommy Boysen","Hookah & Sheridan's","Equity Distribution",12,71,470,"40268"
123,"spotify:track:7KbF6AdprOXEEHlsq11Z6d","Maluma","11 PM","Sony Music Latin",20,70,230,"40045"
124,"spotify:track:0jeS8PyyIRAG0A3t5DtL71","Myke Towers","La Playa","2019 Casablanca Records & One World Music | Distributed by GLAD Empire",32,81,267,"39880"
125,"spotify:track:20jvgYvnqySWnNCsHQZnXk","Ilegales","El Taqui Taqui - Original Mix","Sony Music Latin",125,-1,1,"39778"
126,"spotify:track:6NdwQ9WlP2fOTc2etE0YDK","Sonora 5 Estrellas","Supermandoneao","Sonora 5 Estrellas",87,-1,9,"39725"
127,"spotify:track:3CACzG9I3AoKUKA3ODE5zW","Damas Gratis, Viru Kumbieron","Me Vas a Extrañar - En Vivo","Pelo Music S.A.",51,165,261,"39564"
128,"spotify:track:6L21KPkUPd8Pp7IUnZ24CE","Sonora Palacios","Los Domingos","MOJO MUSICA",51,-1,4,"39162"
129,"spotify:track:57kdZIOAaolxAjB67d2yU3","Duki","Goteo","SSJ Records / DALE PLAY Records",22,75,147,"39067"
130,"spotify:track:6HyNUs3KklwWJYBCKf67Cd","Sonora Palacios","Un Año Más","MOJO MUSICA",130,-1,1,"38881"
131,"spotify:track:7q3NthaBqFI6s0WnAlnIvq","Darell, Brytiago","Velitas","Sony Music Latin",36,69,174,"38263"
132,"spotify:track:0Neik86x23TYJsTezz1aUf","Adrián y Los Dados Negros","Tarjetita de Invitación","Leader Music",132,-1,1,"38003"
133,"spotify:track:5uRd1tmUAvfFGSPR5266Xp","Luisito Ayala Y La Puerto Rican Power","Tu Cariñito","Musical Productions",133,-1,1,"37815"
134,"spotify:track:56f5qnyAlZdlz8wrUDA50h","Mau y Ricky, Manuel Turizo, Camilo","Desconocidos","Sony Music Latin",9,72,444,"37728"
135,"spotify:track:5NuGimnwSMQwBKgCCy7wIn","Ilegales","Como Un Trueno","Sony Music Latin",135,-1,1,"37477"
136,"spotify:track:3f5lA8nnc4YYF1qf78WpHw","Anuel AA, Romeo Santos","Ella Quiere Beber - Remix","Real Hasta La Muerte, LLC",8,77,426,"37318"
137,"spotify:track:0tbjO3ViaR0L7LTvKAYxsD","Américo","Que Levante la Mano","Minga Records",137,-1,2,"36392"
138,"spotify:track:0ATzislS5SvAp69hjHczej","Azucar Moreno","Solo Se Vive una Vez","Epic",138,-1,1,"36361"
139,"spotify:track:3rxs4C8FPu0DcuKVaZlUCu","El Simbolo","1 2 3","Hit Designers",139,-1,1,"36340"
140,"spotify:track:0dDboLfmRNsTBscy4j3Rnl","Ozuna","Hasta Que Salga el Sol","Aura Music Corp.",42,80,55,"36001"
141,"spotify:track:4uO0NyK4WLuzfTGzc49X3x","Los Charros De Lumaco","Las Flores de Tu Florero","Master Media Music Ltda.",141,-1,6,"35843"
142,"spotify:track:0Cn8NxJZz7zUlsaA3rXoIU","JHAYCO, Ozuna","Easy - Remix","N&E Entertainment LLC",57,79,43,"35821"
143,"spotify:track:132ALUzVLmqYB4UsBj5qD6","Paulo Londra","Adan y Eva","WEA Latina",1,83,423,"35767"
144,"spotify:track:67cjCSd8UeTYumRkvaC30z","Juan Luis Guerra 4.40","La Bilirrubina","Karen Publishing Company",144,-1,1,"35551"
145,"spotify:track:7kkJg4hN0NZXPowIWiQnWl","Gaitanes","Taca Taca","Plaza Independencia",145,-1,1,"35246"
146,"spotify:track:2pWb1A0niYkehbNzncNcue","La Sonora De Tommy Rey","La Parabolica","Columbia",114,-1,4,"34910"
147,"spotify:track:4LHx6aJnagio1RqE06x5yz","Sonora Malecón","Ay, Qué Mujer","Discos Fuentes",98,-1,4,"34772"
148,"spotify:track:5BAKerbfUwW5KboNuIPMmn","joel music, Puch Flow","Mueve Lo Que Dios Te Dio","Lody Produccion",148,177,3,"34680"
149,"spotify:track:1khmgu0pveJbkbpbkyvcQv","Bad Bunny, El Alfa","La Romana","Rimas Entertainment LLC",14,110,374,"34493"
150,"spotify:track:461r7cKe9jxaImXinA02p1","Organización X","Mozo","Leader Music",150,-1,1,"34434"
151,"spotify:track:7BuHdm4lQqcyG3qTwdkxus","Wisin & Yandel, Romeo Santos","Aullando","Sony Music Latin",25,95,384,"34224"
152,"spotify:track:7o0oY5wRcoV7oPuDhD2J1z","Paloma Mami","Fingías","Sony Music Latin",1,89,286,"34010"
153,"spotify:track:33zodIEX179pb8bd3n7qEf","Sonora Palacios","El Galeón Español / un Año Más / el Caminante / la Mafafa / la Arañita / Negrito Cumba","Master Media Ltda",27,-1,4,"33980"
154,"spotify:track:2NItmgHAUnsICEWIY5DQmj","La Combo Tortuga","Te Vuelvo a Ver","La Combo Tortuga",116,-1,39,"33576"
155,"spotify:track:2vrpcQNg6itmgVZWsNjWe0","Sebastian Yatra, Reik","Un Año","UMLE - Latino",9,82,349,"33448"
156,"spotify:track:5m3jpKkgkfoMcym1qjToFg","Alex Rose, Rafa Pabön","Jangueo","Los Oidos Fresh/ Los Proximos",88,88,39,"33370"
157,"spotify:track:2b6i9zx3ULzKrNWmyP0ePD","John C, Neo Pistea, Bhavi, Trueno","C90 (Remix)","Piloto Productions",73,94,14,"33076"
158,"spotify:track:4MR1AZhe1p0zTuH2HGhX9L","Zion & Lennox, Anuel AA, Haze","Guayo","WEA Latina",11,86,230,"33030"
159,"spotify:track:5W83ErFkO3aKAIS1WMi6u0","Anuel AA, KAROL G","Secreto","Anuel AA & Karol G - Secreto",1,92,352,"32949"
160,"spotify:track:7JIjUx3GsL0upxmNJacmtz","Elvis Crespo","Suavemente","Sony Music Latin",131,-1,2,"32913"
161,"spotify:track:6Xfz4YNwwIcFRyfW3QQZVp","Ceaese, Utopiko, Polimá Westcoast, Young Cister","Te Quiero Ver (feat. Polimá Westcoast y Young Cister)","WM Chile",31,85,375,"32801"
162,"spotify:track:6fatMybX8VmHUpaxVcXzrz","Ms Nina, Beauty Brain","Tu Sicaria","Universal Music Spain S.L.",53,175,96,"32206"
163,"spotify:track:4jRxEVNituPZObHbCSBZL3","Fulanito","Guallando","Cutting Records",120,-1,2,"32097"
